username,repository_name,star
mrdoob,three.js,90.1k
pmndrs,react-three-fiber,21.9k
libgdx,libgdx,21.3k
BabylonJS,Babylon.js,19.6k
ssloy,tinyrenderer,16.4k
aframevr,aframe,15.2k
lettier,3d-game-shaders-for-beginners,14.8k
FreeCAD,FreeCAD,13.5k
CesiumGS,cesium,10.1k
metafizzy,zdog,9.7k
timzhang642,3D-Machine-Learning,8.8k
isl-org,Open3D,8.3k
blender,blender,8k
a1studmuffin,SpaceshipGenerator,7.4k
domlysz,BlenderGIS,6.1k
FyroxEngine,Fyrox,6k
openscad,openscad,5.4k
google,model-viewer,5.4k
spritejs,spritejs,5.1k
jagenjo,webglstudio.js,4.9k
